Date,Time,Milliseconds,Moment Magnitude
2019-11-16,06:31:41,000,-3.14
2019-11-16,06:31:27,000,-2.13
2019-11-16,06:31:14,000,-3.27
2019-11-16,06:30:50,000,-3.20
2019-11-16,06:29:26,000,-3.27
2019-11-16,06:27:49,000,-3.16
2019-11-16,06:27:23,000,-3.21
2019-11-16,06:26:56,000,-3.09
2019-11-16,06:26:49,000,-2.07
2019-11-16,06:25:51,000,-3.20
2019-11-16,06:25:35,000,-3.20
2019-11-16,06:25:26,000,-3.27
2019-11-16,06:25:09,000,-3.15
2019-11-16,06:23:12,000,-2.44
2019-11-16,06:23:08,000,-1.73
2019-11-16,06:22:37,000,-3.18
2019-11-16,06:20:46,000,-3.37
2019-11-16,06:20:02,000,-3.08
2019-11-16,06:19:19,000,-2.01
2019-11-16,06:17:42,000,-3.12
2019-11-16,06:17:37,000,-2.16
2019-11-16,06:16:57,000,-2.14
2019-11-16,06:16:28,000,-2.25
2019-11-16,06:16:15,000,-3.37
2019-11-16,06:15:26,000,-2.31
2019-11-16,06:14:25,000,-2.53
2019-11-16,06:12:42,000,-1.98
2019-11-16,06:12:16,000,-2.34
2019-11-16,06:12:10,000,-2.89
2019-11-16,06:10:14,000,-3.08
2019-11-16,06:10:13,000,-1.96
2019-11-16,06:09:48,000,-1.98
2019-11-16,06:08:53,000,-2.37
2019-11-16,06:08:16,000,-2.98
2019-11-16,06:07:00,000,-2.04
2019-11-16,06:06:59,000,-2.43
2019-11-16,06:06:19,000,-3.09
2019-11-16,06:05:06,000,-2.24
2019-11-16,06:05:02,000,-3.17
2019-11-16,06:03:49,000,-2.43
2019-11-16,06:02:40,000,-1.74
2019-11-16,05:59:26,000,-2.20
2019-11-16,05:55:19,000,-2.23
2019-11-16,05:54:47,000,-2.24
2019-11-16,05:54:11,000,-3.01
2019-11-16,05:53:17,000,-2.45
2019-11-16,05:52:16,000,-2.11
2019-11-16,05:51:43,000,-2.89
2019-11-16,05:50:45,000,-2.26
2019-11-16,05:49:07,000,-3.14
2019-11-16,05:36:25,000,-2.38
2019-11-16,05:33:56,000,-1.81
2019-11-16,05:29:56,000,-2.63
2019-11-16,05:28:21,000,-1.94
2019-11-16,05:26:17,000,-3.08
2019-11-16,05:26:09,000,-2.06
2019-11-16,05:25:58,000,-2.72
2019-11-16,05:25:57,000,-2.73
2019-11-16,05:23:08,000,-2.74
2019-11-16,05:23:07,000,-2.21
2019-11-16,05:21:29,000,-2.34
2019-11-16,05:21:03,000,-2.44
2019-11-16,05:20:27,000,-2.38
2019-11-16,05:20:06,000,-2.45
2019-11-16,05:19:15,000,-2.65
2019-11-16,05:18:35,000,-2.32
2019-11-16,05:17:57,000,-2.47
2019-11-16,05:17:32,000,-2.65
2019-11-16,05:17:07,000,-2.37
2019-11-16,05:17:01,000,-2.18
2019-11-16,05:16:57,000,-1.96
2019-11-16,05:16:34,000,-2.19
2019-11-16,05:16:28,000,-2.14
2019-11-16,05:15:45,000,-2.49
2019-11-16,05:12:50,000,-2.41
2019-11-16,05:12:26,000,-1.92
2019-11-16,05:12:19,000,-2.44
2019-11-16,05:09:15,000,-2.27
2019-11-16,05:07:04,000,-2.55
2019-11-16,05:06:01,000,-2.36